Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
158266,N/D,MLM540766679,N/D
158269,N/D,MLM540766836,N/D
158351,N/D,MLM540769531,N/D
158354,N/D,MLM540769491,N/D
158357,N/D,MLM540769753,N/D
158369,N/D,MLM540971604,N/D
158372,N/D,MLM540948782,N/D
158375,N/D,MLM541141865,N/D
158392,N/D,N/D,N/D
158505,N/D,MLM540041169,N/D
158728,MLM616614639,N/D,N/D
159506,MLM616614616,MLM543422074,N/D
159526,N/D,MLM540037709,N/D
159534,N/D,MLM544900179,N/D
159535,N/D,MLM539478096,N/D
159537,N/D,MLM547719842,N/D
159563,N/D,MLM548263809,N/D
159565,N/D,MLM548253702,N/D
159577,N/D,MLM548249112,N/D
159578,N/D,MLM548628784,N/D
159582,MLM616436765,MLM544880510,N/D
159583,MLM616436788,MLM544948621,N/D
159587,MLM616436828,MLM544874834,N/D
159592,N/D,N/D,N/D
159603,MLM616436746,MLM543407804,N/D
159626,N/D,MLM547682895,N/D
159632,MLM616436786,MLM544866009,N/D
159633,MLM616436766,MLM544867231,N/D
159640,N/D,N/D,N/D
159642,N/D,MLM548628733,N/D
159645,N/D,N/D,N/D
159650,MLM616436757,MLM544923999,N/D
159652,N/D,N/D,N/D
159653,MLM616436725,MLM544086118,N/D
159654,MLM616436778,MLM544098502,N/D
159655,MLM616436736,MLM540039014,N/D
159657,MLM616436768,MLM544086553,N/D
159658,MLM616436763,MLM544097775,N/D
159659,MLM616436753,MLM544086355,N/D
159660,MLM616436732,MLM544098682,N/D
159664,N/D,MLM549177646,N/D
159668,MLM616436754,MLM544204388,N/D
159672,MLM616436723,MLM543743226,N/D
159675,MLM616436767,MLM543740053,N/D
159678,MLM616436722,MLM544086491,N/D
159681,MLM616436773,MLM544204393,N/D
159684,MLM616436785,MLM544363822,N/D
159690,MLM616436720,MLM544098385,N/D
159693,MLM616436751,MLM544097772,N/D
159696,MLM616436756,MLM543740030,N/D
159703,MLM616436718,MLM544363706,N/D
159706,MLM616436728,MLM544948625,N/D
159709,MLM616433339,MLM544129227,N/D
159712,MLM616436743,MLM544086408,N/D
159713,MLM616436855,MLM544086317,N/D
159714,MLM616436841,MLM543740056,N/D
159715,MLM616436819,MLM544416589,N/D
159716,MLM616436812,N/D,N/D
159717,MLM616436772,MLM544086954,N/D
159721,MLM616436744,MLM544086509,N/D
159722,MLM616436727,MLM544087042,N/D
159723,MLM616436745,MLM544095286,N/D
159724,MLM616436780,MLM544098000,N/D
159726,MLM616436816,MLM544086470,N/D
159727,MLM616436734,MLM544086153,N/D
159729,MLM616436759,MLM544086135,N/D
159731,MLM616436716,MLM544086500,N/D
159732,MLM616436724,MLM541001563,N/D
159734,MLM616436742,MLM540987462,N/D
159735,MLM616436730,MLM544086117,N/D
159736,MLM616436775,MLM544086503,N/D
159737,MLM616436749,MLM544097994,N/D
159738,MLM616436764,MLM544086349,N/D
159739,MLM616436755,N/D,N/D
159741,MLM616436782,N/D,N/D
159748,N/D,MLM544866077,N/D
159752,MLM616436820,MLM544086384,N/D
159753,MLM616436738,MLM545220502,N/D
159754,N/D,MLM544363841,N/D
159759,N/D,MLM540960045,N/D
159762,N/D,MLM544880505,N/D
159790,MLM616436787,MLM544086942,N/D
159791,MLM616436817,MLM544097795,N/D
159793,MLM616436776,MLM544086348,N/D
159796,MLM616436798,MLM544086363,N/D
159803,MLM616436791,MLM544086676,N/D
159806,MLM616436813,MLM545157897,N/D
159812,MLM616436774,MLM544416578,N/D
159815,MLM616436747,MLM544086386,N/D
159839,N/D,MLM547945995,N/D
159840,N/D,MLM547946970,N/D
159856,N/D,MLM548628735,N/D
159859,MLM616436779,N/D,N/D
159861,MLM616436781,MLM544086932,N/D
159866,N/D,MLM547950923,N/D
159869,MLM616436815,MLM544098050,N/D
159875,MLM616436770,N/D,N/D
159878,MLM616436769,MLM544100750,N/D
